Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,766.1409545474,768.17607674712,1267.31280083416,1343.26872994437,1451.54297984389,1559.24065068226,1499.76702162161,1619.05147986187,1787.47750003268,1898.87599012811,1953.9035019746,2050.20473202095
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominica,DMA,2860.4315596643,4787.78017069474,6902.85716974119,6967.24531354346,7065.0530674789,6848.41806733105,7068.53574468351,7364.99652216048,7597.75044603346,8070.29091736358,6951.30354219987,7031.70975373279
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominican Republic,DOM,991.614424124905,2869.10586072527,5051.46536922652,5568.04667607763,5891.15902538053,6107.97743134333,6236.10436946074,6499.14988306617,6691.71691989488,6957.56450686802,7222.55404357246,7650.07275254505
GDP per capita (current US$),NY.GDP.PCAP.CD,Ecuador,ECU,1489.52950926574,1445.27932442901,4231.61579767847,4633.59035839904,5200.55579014874,5682.04500655353,6056.3308269681,6377.09153014217,6124.49164262072,6060.09332904415,6213.50127649921,6344.87197850057
GDP per capita (current US$),NY.GDP.PCAP.CD,"Egypt, Arab Rep.",EGY,765.642046377923,1450.47624243298,2329.23947996771,2644.81703909751,2791.95496186249,3232.64889178794,3264.37878715277,3378.83135785555,3598.9709482021,3525.02016450058,2440.51017311107,2549.13945832295
GDP per capita (current US$),NY.GDP.PCAP.CD,El Salvador,SLV,914.130927454167,2001.53800924467,2858.47898057809,2983.22977097694,3266.01045186205,3428.41038595699,3509.53149262616,3589.04060409892,3705.57794598177,3800.12218101449,3902.23762163591,4058.24465202163
GDP per capita (current US$),NY.GDP.PCAP.CD,Equatorial Guinea,GNQ,267.468072913182,1725.55473767524,16667.9368247067,17272.0097706819,21613.5492326324,21712.3950163809,20384.9245274473,19368.2309101895,11278.9289413309,9244.05179769096,9738.43422416926,10173.963020188
GDP per capita (current US$),NY.GDP.PCAP.CD,Eritrea,ERI,..,308.13378356477,595.109987185412,667.744177753249,811.376028602108,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Estonia,EST,..,4070.03282698714,14726.3182780587,14638.6048173457,17454.8434246435,17421.8902227378,19072.2385175669,20247.1993011108,17412.4486731613,18228.0582545935,20200.3755920409,22927.7444174193
GDP per capita (current US$),NY.GDP.PCAP.CD,Eswatini,SWZ,1355.39394489604,1728.70533953017,3385.84283663199,4168.50506162166,4496.60077707932,4469.45732419562,4196.30973301426,3997.45193588557,3641.40858337825,3426.82659715041,3941.90045658669,4139.96194908385
GDP per capita (current US$),NY.GDP.PCAP.CD,Ethiopia,ETH,254.243256893683,124.460800271762,380.569047862885,341.554114905179,354.479575841347,467.077927241718,499.531572059907,566.926466461984,639.304359734944,716.880038743275,768.010416339934,772.312227821251
GDP per capita (current US$),NY.GDP.PCAP.CD,Faroe Islands,FRO,..,22653.3160466352,47447.8700366077,48530.2338492813,52083.8891448364,49459.7172338372,54853.6255967876,59440.0307606004,52404.6593331379,55822.9147203438,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Fiji,FJI,1835.12809591767,2076.56878431649,3362.81655514032,3652.52743714193,4371.45751012411,4591.55578402956,4840.69371615802,5605.5703563549,5390.74525792812,5647.34736475825,6006.36062164463,6202.16226706496
GDP per capita (current US$),NY.GDP.PCAP.CD,Finland,FIN,28380.548911275,24253.2504245786,47107.1557090705,46202.4151628454,50790.7241454802,47415.5598711351,49638.0771298139,49914.6186421589,42494.6566238083,43493.4193426133,45804.6542078846,49960.2470502049
GDP per capita (current US$),NY.GDP.PCAP.CD,France,FRA,21793.8426479832,22364.0293943406,41575.4187483737,40638.33400426,43790.7320482019,40874.7035053457,42592.9340943342,43008.6473817107,36613.3752159613,36962.222290118,38679.1271482419,41463.6440227034
GDP per capita (current US$),NY.GDP.PCAP.CD,French Polynesia,PYF,15913.5904795552,14323.820820245,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Gabon,GAB,6268.95101975453,4125.71666351713,7690.05223487234,8840.73066379785,10795.5005802196,9814.03899241886,9680.82433880273,9650.57437612745,7381.74674851952,6979.70919563581,7212.53574430676,8029.82238356148
GDP per capita (current US$),NY.GDP.PCAP.CD,"Gambia, The",GMB,331.818434756804,594.151642988667,517.525944984051,530.787693425107,486.049534986134,477.701260376468,696.152124772487,622.054102978064,668.381202871118,671.105285458678,672.780534143022,712.452397744265
GDP per capita (current US$),NY.GDP.PCAP.CD,Georgia,GEO,1614.6401223992,749.896114276587,2822.65173654159,3073.52475273438,3842.61822114713,4249.67016528326,4341.4351223077,4438.68749712122,3756.38376806909,3857.28172841011,4045.41704955757,4344.63095185476
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,22219.5725271486,23718.746699471,41732.707253158,41785.556912554,46810.3279588057,44065.2489082767,46530.9114275776,48142.8272014491,41394.6581607948,42443.4650704217,44681.0825806359,48195.5799044116
GDP per capita (current US$),NY.GDP.PCAP.CD,Ghana,GHA,398.637000137952,258.47095948786,1074.75538037586,1298.43695159215,1558.482133003,1613.28683693408,2378.1595122723,1968.85826344557,1766.00570089157,1931.38946999776,2025.88585736016,2202.31216470307
GDP per capita (current US$),NY.GDP.PCAP.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Greece,GRC,9600.18512965969,12042.9537310995,29710.9702950284,26917.7589787254,25916.2935289351,22242.681934771,21874.8195041667,21760.9797994918,18167.7737169162,18116.4596223336,18883.4600669282,20324.2535641478
GDP per capita (current US$),NY.GDP.PCAP.CD,Greenland,GRL,18326.8051234609,19004.1072910304,44918.5648770756,43988.3324931946,47186.9814680048,45936.7659516989,47535.5899453685,50484.9275739023,44536.4013080999,48295.5624396312,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Grenada,GRD,2886.90829497216,5057.17396526767,7290.69710041267,7257.75662232319,7291.05889664338,7444.5047675973,7789.77638079977,8369.88675513221,9096.87064595412,9628.34748662013,10163.6298527725,10833.6583303924
GDP per capita (current US$),NY.GDP.PCAP.CD,Guam,GUM,..,..,30026.5032092749,30700.4340081784,30859.4043533803,32494.5623640591,33265.3811866066,34394.0974809957,35278.9259389693,35550.5642800596,35664.5016770046,..
